"","movie_id","title","language","country","release_date","release_year","popularity","poster_path","academy_award","academy_nominated","palme_dor","golden_lion"
"27",1417,"Pan's Labyrinth","es","GB","2006-08-25T00:00:00.000Z","2006",4.377,"https://image.tmdb.org/t/p/w500/s8C4whhKtDaJvMDcyiMvx3BIF5F.jpg",0,0,0,0
"28",1417,"Pan's Labyrinth","es","GB","2006-11-24T00:00:00.000Z","2006",4.377,"https://image.tmdb.org/t/p/w500/s8C4whhKtDaJvMDcyiMvx3BIF5F.jpg",0,0,0,0
"29",1417,"Pan's Labyrinth","es","DE","2007-02-22T00:00:00.000Z","2006",4.377,"https://image.tmdb.org/t/p/w500/s8C4whhKtDaJvMDcyiMvx3BIF5F.jpg",0,0,0,0
"30",1417,"Pan's Labyrinth","es","FR","2006-05-27T00:00:00.000Z","2006",4.377,"https://image.tmdb.org/t/p/w500/s8C4whhKtDaJvMDcyiMvx3BIF5F.jpg",0,0,0,0
"31",1417,"Pan's Labyrinth","es","FR","2006-10-26T00:00:00.000Z","2006",4.377,"https://image.tmdb.org/t/p/w500/s8C4whhKtDaJvMDcyiMvx3BIF5F.jpg",0,0,0,0
"32",1417,"Pan's Labyrinth","es","FR","2006-11-01T00:00:00.000Z","2006",4.377,"https://image.tmdb.org/t/p/w500/s8C4whhKtDaJvMDcyiMvx3BIF5F.jpg",0,0,0,0
"33",1417,"Pan's Labyrinth","es","FR","2011-05-05T00:00:00.000Z","2006",4.377,"https://image.tmdb.org/t/p/w500/s8C4whhKtDaJvMDcyiMvx3BIF5F.jpg",0,0,0,0
"34",1417,"Pan's Labyrinth","es","FR","2021-10-22T00:00:00.000Z","2006",4.377,"https://image.tmdb.org/t/p/w500/s8C4whhKtDaJvMDcyiMvx3BIF5F.jpg",0,0,0,0
"35",1417,"Pan's Labyrinth","es","FR","2007-07-03T00:00:00.000Z","2006",4.377,"https://image.tmdb.org/t/p/w500/s8C4whhKtDaJvMDcyiMvx3BIF5F.jpg",0,0,0,0
"36",1417,"Pan's Labyrinth","es","FR","2009-04-15T00:00:00.000Z","2006",4.377,"https://image.tmdb.org/t/p/w500/s8C4whhKtDaJvMDcyiMvx3BIF5F.jpg",0,0,0,0
"37",1417,"Pan's Labyrinth","es","TR","2007-04-06T00:00:00.000Z","2006",4.377,"https://image.tmdb.org/t/p/w500/s8C4whhKtDaJvMDcyiMvx3BIF5F.jpg",0,0,0,0
"38",1417,"Pan's Labyrinth","es","JP","2007-10-06T00:00:00.000Z","2006",4.377,"https://image.tmdb.org/t/p/w500/s8C4whhKtDaJvMDcyiMvx3BIF5F.jpg",0,0,0,0
"39",1417,"Pan's Labyrinth","es","ES","2006-10-06T00:00:00.000Z","2006",4.377,"https://image.tmdb.org/t/p/w500/s8C4whhKtDaJvMDcyiMvx3BIF5F.jpg",0,0,0,0
"40",1417,"Pan's Labyrinth","es","ES","2006-10-11T00:00:00.000Z","2006",4.377,"https://image.tmdb.org/t/p/w500/s8C4whhKtDaJvMDcyiMvx3BIF5F.jpg",0,0,0,0
"41",1417,"Pan's Labyrinth","es","IT","2006-11-24T00:00:00.000Z","2006",4.377,"https://image.tmdb.org/t/p/w500/s8C4whhKtDaJvMDcyiMvx3BIF5F.jpg",0,0,0,0
"42",1417,"Pan's Labyrinth","es","BR","2006-09-29T00:00:00.000Z","2006",4.377,"https://image.tmdb.org/t/p/w500/s8C4whhKtDaJvMDcyiMvx3BIF5F.jpg",0,0,0,0
"43",1417,"Pan's Labyrinth","es","BR","2006-12-01T00:00:00.000Z","2006",4.377,"https://image.tmdb.org/t/p/w500/s8C4whhKtDaJvMDcyiMvx3BIF5F.jpg",0,0,0,0
"44",1010581,"My Fault","es","US","2023-06-08T00:00:00.000Z","2023",3.891,"https://image.tmdb.org/t/p/w500/w46Vw536HwNnEzOa7J24YH9DPRS.jpg",0,0,0,0
"45",1010581,"My Fault","es","GB","2023-06-08T00:00:00.000Z","2023",3.891,"https://image.tmdb.org/t/p/w500/w46Vw536HwNnEzOa7J24YH9DPRS.jpg",0,0,0,0
"46",1010581,"My Fault","es","DE","2023-06-08T00:00:00.000Z","2023",3.891,"https://image.tmdb.org/t/p/w500/w46Vw536HwNnEzOa7J24YH9DPRS.jpg",0,0,0,0
"47",1010581,"My Fault","es","FR","2023-06-08T00:00:00.000Z","2023",3.891,"https://image.tmdb.org/t/p/w500/w46Vw536HwNnEzOa7J24YH9DPRS.jpg",0,0,0,0
"48",1010581,"My Fault","es","TR","2023-06-08T00:00:00.000Z","2023",3.891,"https://image.tmdb.org/t/p/w500/w46Vw536HwNnEzOa7J24YH9DPRS.jpg",0,0,0,0
"49",1010581,"My Fault","es","JP","2023-06-08T00:00:00.000Z","2023",3.891,"https://image.tmdb.org/t/p/w500/w46Vw536HwNnEzOa7J24YH9DPRS.jpg",0,0,0,0
"50",1010581,"My Fault","es","ES","2023-06-08T00:00:00.000Z","2023",3.891,"https://image.tmdb.org/t/p/w500/w46Vw536HwNnEzOa7J24YH9DPRS.jpg",0,0,0,0
"51",1010581,"My Fault","es","IT","2023-06-08T00:00:00.000Z","2023",3.891,"https://image.tmdb.org/t/p/w500/w46Vw536HwNnEzOa7J24YH9DPRS.jpg",0,0,0,0
"52",1010581,"My Fault","es","BR","2023-06-08T00:00:00.000Z","2023",3.891,"https://image.tmdb.org/t/p/w500/w46Vw536HwNnEzOa7J24YH9DPRS.jpg",0,0,0,0
"53",818647,"Through My Window","es","US","2022-02-04T00:00:00.000Z","2022",3.623,"https://image.tmdb.org/t/p/w500/jmkpZvMVIRrMFevxzOubSBfG0s0.jpg",0,0,0,0
